ジャンル,問題文,回答
H,歴代では4番目に長く続いた元号であり、1989年1月8日から2019年4月30日までの30年続いた、アルファベットでは「H」と表記する和暦は何でしょう？,平成
ZAクイズ,２０２４年度入試では東大合格者は1063人　京大合格者は808人の合格実績を持つかつては「増進会」の名称で通信教育事業等を行っていた学習塾の名前は何でしょう？,Z会
金,太陽が月に全部隠されてしまう時は「皆既日食」それに対し、太陽が月に一部分だけ隠されてしまう時は「部分日食」では月が太陽を隠しきれず、周りからはみ出して見える状態は何日食でしょう？,金環日食
ZAクイズ,ポイントカードの「Ponta」や情報端末の「Loppi」などのサービスを提供しているコンビニエンスストアチェーンといえばどこでしょう？,ローソン
ZAクイズ,正式名称を「Test Of English for International Communication」という　英語能力判定に世界中で用いられている試験は何でしょう？,TOEIC
おかゆん,「タウマタファカタンギハンガコアウアウオタマテアポカイフェヌアキタナタフ」という世界一長い地名がある国はどこでしょう？,ニュージーランド
H,タイトルは「ヒーローふたり、ヒロインふたり」を意味する、漫画家 あだち充 がサンデーで連載した高校野球漫画は何でしょう？,H2
H,大学の研究室を相手に洋書の翻訳委託業を行ったことに始まる「大学翻訳センター」を略した社名であり、現在は化粧品やサプリメントを主に製造・販売しているメーカーは何でしょう？,DHC
H,パソコンなどに使う一般的なキーボードの配列でH の左隣は何でしょう？,G
H,ブルーベリーやムラサキキャベツなどに含まれ、pH によってその色を変える色素は何でしょう？,アントシアニン
H,ゲーム『ポケットモンスター』シリーズにてHGSS と略されることが多い『ポケットモンスター金・銀・クリスタル』のリメイク作品といえば何でしょう？,ハートゴールド・ソウルシルバー
H,HBB と略されることもある、日本では YouTuber の HIKAKIN が得意とする、人間の発声器官を使って音楽を作り出す音楽表現を何というでしょう？,ヒューマンビートボックス
H,鉛筆の芯の硬さを表すアルファベットでHB と H の中間の硬さのものを何というでしょう？,F
H,周波数の単位を Hz と書いて何と言うでしょう？,ヘルツ
ZAクイズ,民放各局が提供クレジットを流せない時間帯などに代替で放送されるCMとして知られる、公共広告を制作する組織は何？,ACジャパン
ZAクイズ,記号「oz」で表される　ヤード・ポンド法において用いられる28gを1とする単位は何でしょう？,オンス
ZAクイズ,漫画「シティーハンター」でシティーハンターへ仕事を依頼する際　新宿駅東口の伝言板に書かれるアルファベット3文字は何でしょう？,XYZ
ZAクイズ,「Portable Document Format」の略である Adobe systemsが開発したコンピューターの機種を問わず文書を観覧できるシステムを何というでしょう？,PDF
ZAクイズ,開成高校時代にはテレビ番組「全国高等学校クイズ選手権」の第30回大会と第31回大会で2連覇を果たしている、株式会社QuizKnockの初代CEOを務めているクイズプレイヤーは誰でしょう？,伊沢拓司
ZAクイズ,"その名前はMountain,Ocean,Sunという言葉の頭文字から取られた売上高日本第2位のハンバーガーチェーンは何でしょう？",モスバーガー
ZAクイズ,第二次大戦後の東京裁判でA級戦犯として処刑された総理大臣経験者は広田弘毅（ひろだこうき）と誰でしょう？,東條英機
おかゆん,「ランヴァイル・プルグウィンギル・ゴゲリフウィルンドロブル・ランティシリオゴゴゴホ駅」という世界一長い駅名がある国はどこでしょう？,イギリス
音楽,"有線放送で流れる際にはサビの「ゲロ」の部分にピー音が被される、
昨年（2025年）大ヒットした米津玄師の曲は何でしょう？",IRIS OUT
金,1年に最低1回、多い年では3回観測することができる、欧米では不吉とされている日付で、1980年に第1作が公開されたホラー映画シリーズのタイトルにもなっているのは何でしょう？,13日の金曜日（Friday the 13th）
金,右手を上げると「人」を、左手を上げると「お金」を招くと言われる、ある動物をかたどった置き物は何でしょう？,まねきねこ
ドリンク,"田中角栄はコップに移して1日に何本も飲むほど愛用していたという、
「ファイト一発」のフレーズでおなじみの大正製薬の栄養ドリンクは何でしょう？",リポビタンD
ノージャンル,"アルファベットの場合は18文字以内、
カタカナの場合は2文字以上9文字以内といえば、どんなものにつける名前のルールでしょう？",競走馬
本,"複雑な注文に対応してくれる印刷会社がアメリカで見つからず、
原書の製本は日本の企業が行った、
おなかが空いたある虫を主人公としたエリック・カールの絵本は何でしょう？",はらぺこあおむし
金,そのタイトルは英語とアイヌ語を合わせた造語とされる明治末期の北海道樺太を舞台としたバトル漫画で「金カム」とも略される作品はなんでしょう？,ゴールデンカムイ
金,鋼の○錬金術師 兄エドワード・エルリックと弟アルフォンス・エルリックの兄弟が禁術によって失った自らの体を取り戻すための旅に出る荒川弘による日本の漫画作品は何でしょう？,鋼の錬金術師
金,防衛大学校では毎週月曜日に、海上自衛隊では毎週金曜日に食べることになっている料理は何でしょう？,カレー
金,線分を2つに分けたときに見た目が最も美しいとされる、およそ 1 : 1.618 の比率のことを特に何というでしょう？,黄金比
小説,英語圏では動詞として「ツギハギに繋ぎ合わせる」という意味で使われることもある、メアリー・シェリーの怪奇小説に東條する、ツギハギの化け物を生み出した科学者は誰でしょう？,フランケンシュタイン
